Program,question1,Module,Qn,Module_name,Response,Count,Question
NACP,Q5_1,5,1,Mission and Vision,Agree,4,1. I believe our organization's long-term goals are clear and inspiring.
NACP,Q5_1,5,1,Mission and Vision,Disagree,1,1. I believe our organization's long-term goals are clear and inspiring.
NACP,Q5_1,5,1,Mission and Vision,Somewhat Agree,0,1. I believe our organization's long-term goals are clear and inspiring.
NACP,Q5_1,5,1,Mission and Vision,Somewhat Disagree,1,1. I believe our organization's long-term goals are clear and inspiring.
NACP,Q5_1,5,1,Mission and Vision,Strongly Agree,10,1. I believe our organization's long-term goals are clear and inspiring.
NACP,Q5_1,5,1,Mission and Vision,Strongly Disagree,0,1. I believe our organization's long-term goals are clear and inspiring.
NACP,Q5_2,5,2,Mission and Vision,Agree,7,2. I feel motivated to contribute to our organization's vision and mission.
NACP,Q5_2,5,2,Mission and Vision,Disagree,0,2. I feel motivated to contribute to our organization's vision and mission.
NACP,Q5_2,5,2,Mission and Vision,Somewhat Agree,1,2. I feel motivated to contribute to our organization's vision and mission.
NACP,Q5_2,5,2,Mission and Vision,Somewhat Disagree,0,2. I feel motivated to contribute to our organization's vision and mission.
NACP,Q5_2,5,2,Mission and Vision,Strongly Agree,8,2. I feel motivated to contribute to our organization's vision and mission.
NACP,Q5_2,5,2,Mission and Vision,Strongly Disagree,0,2. I feel motivated to contribute to our organization's vision and mission.
NACP,Q5_3,5,3,Mission and Vision,Agree,7,3. Our organization's future direction aligns with my personal aspirations.
NACP,Q5_3,5,3,Mission and Vision,Disagree,1,3. Our organization's future direction aligns with my personal aspirations.
NACP,Q5_3,5,3,Mission and Vision,Somewhat Agree,2,3. Our organization's future direction aligns with my personal aspirations.
NACP,Q5_3,5,3,Mission and Vision,Somewhat Disagree,1,3. Our organization's future direction aligns with my personal aspirations.
NACP,Q5_3,5,3,Mission and Vision,Strongly Agree,5,3. Our organization's future direction aligns with my personal aspirations.
NACP,Q5_3,5,3,Mission and Vision,Strongly Disagree,0,3. Our organization's future direction aligns with my personal aspirations.
NACP,Q5_4,5,4,Mission and Vision,Agree,5,4. There is a shared sense of purpose and ambition among employees.
NACP,Q5_4,5,4,Mission and Vision,Disagree,2,4. There is a shared sense of purpose and ambition among employees.
NACP,Q5_4,5,4,Mission and Vision,Somewhat Agree,6,4. There is a shared sense of purpose and ambition among employees.
NACP,Q5_4,5,4,Mission and Vision,Somewhat Disagree,0,4. There is a shared sense of purpose and ambition among employees.
NACP,Q5_4,5,4,Mission and Vision,Strongly Agree,3,4. There is a shared sense of purpose and ambition among employees.
NACP,Q5_4,5,4,Mission and Vision,Strongly Disagree,0,4. There is a shared sense of purpose and ambition among employees.
NACP,Q5_5,5,5,Mission and Vision,Agree,6,5. Our organization consistently sets challenging long-term goals to achieve.
NACP,Q5_5,5,5,Mission and Vision,Disagree,1,5. Our organization consistently sets challenging long-term goals to achieve.
